directorName,directorId
Howard Deutch,1
John Lasseter,2
Joe Johnston,3
Forest Whitaker,4
Charles Shyer,5
Michael Mann,6
Sydney Pollack,7
Peter Hyams,8
Peter Hewitt,9
Martin Campbell,10
Rob Reiner,11
Mel Brooks,12
Simon Wells,13
Oliver Stone,14
Renny Harlin,15
Ang Lee,16
Martin Scorsese,17
Allison Anders,18
Steve Oedekerk,19
Joseph Ruben,20
Jon Amiel,21
Barry Sonnenfeld,22
Richard Donner,23
Mike Figgis,24
Victor Salva,25
Oliver Parker,26
Lesli Linka Glatter,27
Marc Caro,28
Roger Michell,29
Yimou Zhang,30
John N. Smith,31
Terry Gilliam,32
Chris Noonan,33
Tim Robbins,34
Amy Heckerling,35
Andy Tennant,36
Darrell Roodt,37
Richard Loncraine,38
Albert Hughes,39
Michael Hoffman,40
Gus Van Sant,41
Paul W.S. Anderson,42
Jocelyn Moorhouse,43
David Fincher,44
Mike Gabriel,45
Patricia Rozema,46
Bryan Singer,47
Gianni Amelio,48
Woody Allen,49
Holly Goldberg Sloan,50
Ulu Grosbard,51
Jodie Foster,52
Frank Oz,53
Michael Radford,54
John Schlesinger,55
Stephen Herek,56
Paris Barclay,57
Bill Bennett,58
Jason Bloom,59
Josiane Balasko,60
Farhad Mann,61
F. Gary Gray,62
Robert Rodriguez,63
Andrew Sipes,64
Noah Baumbach,65
Michael Goldenberg,66
Claude Lelouch,67
Christian Duguay,68
Steve Miner,69
Susanne Ofteringer,70
Sean Penn,71
Brian Gibson,72
Jafar Panahi,73
Gary Fleder,74
Tim Reid,75
Marleen Gorris,76
Ridley Scott,77
Philip Haas,78
Ken Kwapis,79
Penelope Spheeris,80
Stephen Frears,81
John Badham,82
Ted Demme,83
Wes Craven,84
John Woo,85
Mathieu Kassovitz,86
Kenneth Branagh,87
Nick Broomfield,88
Harold Becker,89
Wes Anderson,90
Nick Castle,91
John Dahl,92
Dennis Dugan,93
Doris Dörrie,94
Clint Eastwood,95
Brian Henson,96
Robert Leacock,97
Mel Gibson,98
Barbet Schroeder,99
Stanley Tong,100
Jon Blair,101
Benjamin Ross,102
Eric Schaeffer,103
Andrew Davis,104
Reginald Hudlin,105
David O. Russell,106
Wong Kar-Wai,107
Peter MacDonald,108
Bryan Gordon,109
William Friedkin,110
Michel Negroponte,111
Dirk Shafer,112
David S. Ward,113
Jon Avnet,114
Edward Burns,115
Mike Nichols,116
Michael Bay,117
Christopher Cain,118
Scott Kalvert,119
Mike Newell,120
Hal Hartley,121
Ron Howard,122
Michael Caton-Jones,123
Joel Schumacher,124
Abel Ferrara,125
Luis Buñuel,126
John Boorman,127
Paul Auster,128
Michael Moore,129
Spike Lee,130
Brad Silberling,131
Frank Marshall,132
Terry Zwigoff,133
Tony Scott,134
John McTiernan,135
Carl Franklin,136
Gregg Araki,137
Jerry Zucker,138
Iain Softley,139
Dwight H. Little,140
Christopher Ashley,141
Robert Longo,142
Danny Cannon,143
John Fortenberry,144
Tom DiCillo,145
Larry Clark,146
Denys Arcand,147
Clive Barker,148
Antonia Bird,149
Bryan Spicer,150
Kevin Smith,151
Anthony Waller,152
Michael Almereyda,153
Irwin Winkler,154
Chris Columbus,155
Daisy von Scherler Mayer,156
Gregory Widen,157
Norman René,158
Roland Joffé,159
Todd Haynes,160
Paul Verhoeven,161
Wayne Wang,162
Lasse Hallström,163
Roger Donaldson,164
Kathryn Bigelow,165
Jacques Demy,166
Martha Coolidge,167
Agnieszka Holland,168
Beeban Kidron,169
Geoff Murphy,170
Diane Keaton,171
Douglas Keeve,172
Alfonso Arau,173
Kevin Reynolds,174
Walter Hill,175
Desmond Nakano,176
Greg Beeman,177
Milcho Manchevski,178
Nikita Mikhalkov,179
Tamra Davis,180
Richard Linklater,181
Guy Ferland,182
Herbert Ross,183
Peter Horton,184
Stuart Gordon,185
Pat O'Connor,186
Barry Levinson,187
Jeremy Leven,188
Jack Baran,189
Roman Polanski,190
Taylor Hackford,191
Peter Farrelly,192
Atom Egoyan,193
Garry Marshall,194
Tim Burton,195
Billy Crystal,196
Lawrence Kasdan,197
Phillip Borsos,198
Kevin Lima,199
Brett Leonard,200
Carlo Carlei,201
Gérard Corbiau,202
Mark Lewis,203
Steve James,204
Peter Jackson,205
Randall Miller,206
Bernard Rose,207
Steven Brill,208
J.F. Lawton,209
Fred Schepisi,210
Neil Jordan,211
James Ivory,212
James Melkonian,213
Ivan Reitman,214
Michael Gottlieb,215
Arne Glimcher,216
George Lucas,217
Gillian Armstrong,218
Alfonso Cuarón,219
Ken Loach,220
Edward Zwick,221
Glenn Gordon Caron,222
Stephen Gyllenhaal,223
Nicholas Hytner,224
James Orr,225
Nora Ephron,226
Richard Benjamin,227
Les Mayfield,228
David Frankel,229
Gregory Nava,230
Robert Benton,231
Marc Rocco,232
Michael Apted,233
Nick Gomez,234
Tôru Murakawa,235
Vadim Jean,236
Alan Jacobs,237
Norman Jewison,238
Lee Tamahori,239
Anne Goursaud,240
Wolfgang Petersen,241
Luc Besson,242
Mira Nair,243
Joshua Brand,244
Quentin Tarantino,245
Kayo Hatta,246
Robert Redford,247
Peter Yates,248
Patrice Chéreau,249
Sam Raimi,250
Robert Altman,251
Krzysztof Kieslowski,252
Fred Gerber,253
George Mihalka,254
Richard Rich,255
Harold Ramis,256
John Sayles,257
Luis Llosa,258
Roland Emmerich,259
John Pasquin,260
Frank Darabont,261
Danny Boyle,262
Scott McGehee,263
Tomás Gutiérrez Alea,264
George Huang,265
Geoff Burton,266
Kelly Makin,267
Rachel Talalay,268
Ernest R. Dickerson,269
David Carson,270
Rusty Cundieff,271
Brian Gilbert,272
John Carpenter,273
Peter Segal,274
Louis Malle,275
Preston A. Whitmore II,276
Steven Soderbergh,277
Jon Turteltaub,278
Melanie Mayron,279
P.J. Hogan,280
Mina Shum,281
Stephan Elliott,282
Tom Shadyac,283
Phillip Noyce,284
Jessie Nelson,285
Alex Proyas,286
Ron Shelton,287
Brian Levant,288
Robert Zemeckis,289
John Singleton,290
Darnell Martin,291
Andrew Bergman,292
Stephen Sommers,293
Ray Müller,294
Roger Allers,295
Bernardo Bertolucci,296
Chuck Russell,297
Alan Rudolph,298
Ben Stiller,299
Donald Petrie,300
Curtis Hanson,301
Jan de Bont,302
Ron Underwood,303
Luis Mandoki,304
James Cameron,305
Damian Harris,306
Suri Krishnamma,307
Keenen Ivory Wayans,308
Jefery Levy,309
Robert Lee King,310
Yves Angelo,311
Russ Meyer,312
Doug McHenry,313
Steven E. de Souza,314
Andrew Morahan,315
Michael Corrente,316
John G. Avildsen,317
Jeff Pollack,318
Michael Lehmann,319
Paul Michael Glaser,320
Jonathan Kaplan,321
Whit Stillman,322
Bill Forsyth,323
John Landis,324
Caroline Thompson,325
Stephen Hopkins,326
Tony Richardson,327
Jennifer Lynch,328
Robert De Niro,329
John Whitesell,330
Adam Resnick,331
Brian De Palma,332
Paul Weiland,333
Mick Jackson,334
Steve Barron,335
Richard Rush,336
Michael Ritchie,337
Gregg Champion,338
Marco Brambilla,339
Carl Reiner,340
Kaige Chen,341
Peter Weir,342
Alek Keshishian,343
Steve Kloves,344
John Irvin,345
Simon Wincer,346
Boaz Yakin,347
Rose Troche,348
Jim Abrahams,349
Julianna Lavin,350
Christopher Monger,351
Bille August,352
Eric Meza,353
Joel Coen,354
James L. Brooks,355
Daniel Petrie Jr.,356
Jim Sheridan,357
Matty Rich,358
Steven Spielberg,359
Dominic Sena,360
Roger Avary,361
Daniel Petrie,362
James Lapine,363
David Cronenberg,364
Stuart Baird,365
Nagisa Ôshima,366
Tom Noonan,367
Anthony Minghella,368
Mike Leigh,369
Sally Potter,370
Jonathan Demme,371
Jane Campion,372
Stuart Orme,373
Mel Smith,374
Penny Marshall,375
Philip Kaufman,376
Alan Parker,377
Fred Dekker,378
Peter Medak,379
Geoffrey Wright,380
David Anspaugh,381
Victor Nunez,382
Cyril Collard,383
Steven Zaillian,384
Russell Mulcahy,385
John Waters,386
Richard Attenborough,387
Gillies MacKinnon,388
John Duigan,389
Steve Rash,390
Thomas Schlamme,391
Annabel Jankel,392
Rowdy Herrington,393
Deran Sarafian,394
François Girard,395
Andrew Fleming,396
Henry Selick,397
George P. Cosmatos,398
Chris Hegedus,399
Pixote Hunt,400
Todd Solondz,401
Claude Berri,402
Dennis Hopper,403
Pedro Almodóvar,404
Gurinder Chadha,405
Andrew Scheinman,406
Lina Wertmüller,407
George Miller,408
Ricky Tognazzi,409
Michael Austin,410
Rob Epstein,411
Betty Thomas,412
Nanni Moretti,413
Ron Clements,414
Kevin Costner,415
Gary Trousdale,416
Norman Ferguson,417
William Cottrell,418
C.M. Talkington,419
Sam Peckinpah,420
Jean Bach,421
Bill Condon,422
David R. Ellis,423
Gerald Potterton,424
Kevin Yagher,425
Matt Reeves,426
Franco Zeffirelli,427
Franco Brusati,428
Wolfgang Reitherman,429
Fernando Trueba,430
Bill Couturié,431
Martin Lawrence,432
Stacy Title,433
Gregory Hoblit,434
Larry Leker,435
Hal Salwen,436
Jonathan R. Betuel,437
Richard Pearce,438
Todd Verow,439
Jonathan Lynn,440
Tim Sullivan,441
Jeremiah S. Chechik,442
Claude Sautet,443
Friðrik Þór Friðriksson,444
Pen Densham,445
Rob Cohen,446
James Foley,447
Emir Kusturica,448
Satyajit Ray,449
Alan Mehrez,450
Joe Pytka,451
Jim Mallon,452
Roger Vadim,453
George Hickenlooper,454
Jean-Luc Godard,455
Randal Kleiser,456
Norberto Barba,457
Robert Mandel,458
Pat Verducci,459
Zalman King,460
Steven Baigelman,461
Patrick Read Johnson,462
Stacy Cochran,463
Steve Gomer,464
Jean-Claude Van Damme,465
George Scribner,466
Alan Shapiro,467
Tom DeCerchio,468
Jim Jarmusch,469
Jean-Paul Rappeneau,470
Jean-Marie Poiré,471
Nick Park,472
Brett Thompson,473
Bruce Beresford,474
Phil Joanou,475
Michele Soavi,476
Mamoru Oshii,477
David Hogan,478
Tom Holland,479
Rick Friedberg,480
David Twohy,481
Stanley Kubrick,482
Freida Lee Mock,483
Joseph Vilsmaier,484
James Mangold,485
Mary Harron,486
Djibril Diop Mambéty,487
Francis Ford Coppola,488
Federico Fellini,489
Scott Winant,490
Bobby Farrelly,491
Lucian Pintilie,492
Alexandre Rockwell,493
Yale Strom,494
Bronwen Hughes,495
Nicole Holofcener,496
Fraser C. Heston,497
Kevin Hooks,498
Howard Franklin,499
Arlene Sanford,500
Éric Rohmer,501
Peter Sehr,502
John Payson,503
Hugh Wilson,504
Annette Haywood-Carter,505
Hart Bochner,506
Danny DeVito,507
Tim Pope,508
Douglas McGrath,509
Georges Franju,510
Harry Winer,511
Gilbert Adler,512
Lee David Zlotoff,513
Julian Schnabel,514
Lana Wachowski,515
Arthur Hiller,516
Izidore K. Musallam,517
David Mickey Evans,518
John Frankenheimer,519
David Koepp,520
Roy Allen Smith,521
Joe Chappelle,522
Theo van Gogh,523
Trevor Nunn,524
Keith Gordon,525
André Téchiné,526
Sam Wood,527
George Cukor,528
Stanley Donen,529
Vincente Minnelli,530
Alfred Hitchcock,531
Blake Edwards,532
Frank Capra,533
Mark Sandrich,534
Billy Wilder,535
Michael Curtiz,536
John Huston,537
Walter Lang,538
William Wyler,539
Victor Fleming,540
Orson Welles,541
Joseph L. Mankiewicz,542
Leo McCarey,543
Ernst Lubitsch,544
Rouben Mamoulian,545
Otto Preminger,546
Gregory La Cava,547
George Stevens,548
Elia Kazan,549
W.S. Van Dyke,550
Michael Anderson,551
Howard Hawks,552
John Cromwell,553
Henry Koster,554
George A. Romero,555
Richard Brooks,556
Thaddeus O'Sullivan,557
Frank Borzage,558
Joshua Logan,559
Carroll Ballard,560
Richard Schenkman,561
Lance Young,562
Ringo Lam,563
Matthew Broderick,564
Campbell Scott,565
John Herzfeld,566
John Gray,567
Robert Lieberman,568
Norman Tokar,569
Norman Foster,570
John Hough,571
Robert Stevenson,572
David Swift,573
Duwayne Dunham,574
Charles Barton,575
Ken Annakin,576
Richard Fleischer,577
William Dear,578
Clyde Geronimi,579
Samuel Armstrong,580
Don Chaffey,581
Ted Berman,582
Matthew Bright,583
Robert Wise,584
Christopher Hampton,585
Tom Hanks,586
Michael Pressman,587
Hettie Macdonald,588
Al Pacino,589
Steve Buscemi,590
John McNaughton,591
Michael Winterbottom,592
Baz Luhrmann,593
Doug Liman,594
Tad Stones,595
Edward Dmytryk,596
Mel Stuart,597
Jack Clayton,598
Charles Crichton,599
Terry Jones,600
Arthur Penn,601
John Sturges,602
Emile Ardolino,603
Ted Kotcheff,604
Alan J. Pakula,605
Edwin L. Marin,606
Nicholas Ray,607
Greg Spence,608
Erik Burke,609
Claude Nuridsany,610
Alan Taylor,611
Benoît Jacquot,612
Jaco Van Dormael,613
Peter Cohn,614
Milos Forman,615
Rich Wilkes,616
R.J. Cutler,617
Mark Rydell,618
Ate de Jong,619
Joe Dante,620
Howard Zieff,621
Rick Castro,622
Michael Ray Rhodes,623
Susan Warms Dryfoos,624
Leon Gast,625
Vittorio De Sica,626
Jan Svankmajer,627
Daniel Vigne,628
Volker Schlöndorff,629
Martine Dugowson,630
Phillip Rhee,631
Giuseppe Tornatore,632
Peter Greenaway,633
Peter Chelsom,634
Gabriele Salvatores,635
Errol Morris,636
Jennie Livingston,637
Lou Adler,638
Irvin Kershner,639
Sergio Leone,640
Bruce Robinson,641
Sidney Lumet,642
David Lean,643
Robert Mulligan,644
Richard Marquand,645
Wim Wenders,646
Carol Reed,647
Akira Kurosawa,648
John Ford,649
Andrei Tarkovsky,650
George Roy Hill,651
Hal Ashby,652
Ingmar Bergman,653
Tom Stoppard,654
Savage Steve Holland,655
Fritz Lang,656
Michael Cimino,657
Jean-Jacques Beineix,658
Allan Moyle,659
Franklin J. Schaffner,660
Katsuhiro Ôtomo,661
Stuart Rosenberg,662
Charles Chaplin,663
James Algar,664
Fred Zinnemann,665
Jeannot Szwarc,666
Godfrey Reggio,667
Fred M. Wilcox,668
Phil Alden Robinson,669
Doug Pray,670
Susan Streitfeld,671
Carl Prechezer,672
Tony Randel,673
Steve White,674
John Murlowski,675
Damiano Damiani,676
Tom Berry,677
Fred Walton,678
Paul Morrissey,679
Jeffrey Bloom,680
Irvin S. Yeaworth Jr.,681
Eric Red,682
James Whale,683
Dan Curtis,684
J. Lee Thompson,685
Paul Schrader,686
F.W. Murnau,687
Augusto Caminito,688
Bob Rafelson,689
Kevin Spacey,690
Barbra Streisand,691
Lars von Trier,692
Ole Bornedal,693
Jonathan Frakes,694
Scott Hicks,695
Billy Bob Thornton,696
Joe Berlinger,697
Patrice Leconte,698
Nicholas Meyer,699
William Shatner,700
Leonard Nimoy,701
Patricia Birch,702
Joe Alves,703
Alexander Payne,704
Cameron Crowe,705
Anjelica Huston,706
Jerry Zaks,707
Geoffrey Johnson,708
Claude Chabrol,709
Terry George,710
Dan Ireland,711
Albert Brooks,712
Nicolas Roeg,713
Ralph Ziman,714
Robert Young,715
Robert Butler,716
Michael Rymer,717
Roger Christian,718
Thomas Carter,719
Andrew Birkin,720
Peter Baldwin,721
E. Max Frye,722
Jan Sverák,723
Vondie Curtis-Hall,724
Christopher Guest,725
Paul Miller,726
Bob Spiers,727
David Lynch,728
Stephen Kessler,729
Theodore Witcher,730
Greg Mottola,731
Mark Dindal,732
Robert Townsend,733
Emma-Kate Croghan,734
Shuki Levy,735
Hark Tsui,736
George Armitage,737
Lynne Stopkewich,738
Tom Schulman,739
David Mirkin,740
Jay Roach,741
Peter Duncan,742
Jonathan Mostow,743
Gregor Nicholas,744
Jean-Pierre Dardenne,745
Masayuki Suô,746
Griffin Dunne,747
Mark Herman,748
Jacques Doillon,749
Dale Rosenbloom,750
Clare Peploe,751
Simon West,752
Jim Wilson,753
Cédric Klapisch,754
Shirley Barrett,755
John Milius,756
Sam Weisman,757
Mark A.Z. Dippé,758
Charles Martin Smith,759
Neil LaBute,760
Kenneth Johnson,761
Nick Cassavetes,762
Bill Duke,763
Andy Cadiff,764
Brett Ratner,765
Guillermo del Toro,766
John Nicolella,767
Tony Vitale,768
Miguel Arteta,769
Mimi Leder,770
Jean-Jacques Annaud,771
George Tillman Jr.,772
Robert Kurtzman,773
Félix Enríquez Alcalá,774
Mark Joffe,775
Peter Cattaneo,776
Nancy Meckler,777
John Madden,778
Jim Gillespie,779
Stuart Gillard,780
Andy Wilson,781
Mark Waters,782
Andrew Niccol,783
Charles Sturridge,784
Morgan J. Freeman,785
Kasi Lemmons,786
Jeb Stuart,787
Jim Kouf,788
Costa-Gavras,789
Jonas Pate,790
Paul Thomas Anderson,791
Peter Howitt,792
Alex Zamm,793
John R. Leonetti,794
Billy Hopkins,795
Don Bluth,796
Jean-Pierre Jeunet,797
Robert Duvall,798
Agnès Merlet,799
Sean Mathias,800
Raja Gosnell,801
Gore Verbinski,802
Rodney Gibbons,803
Roger Spottiswoode,804
Alain Berliner,805
Sean McNamara,806
Mikael Salomon,807
Stefan Schwartz,808
Bruno Barreto,809
Charlie Peters,810
Antoine Fuqua,811
Mark Pavia,812
Frank Coraci,813
Richard Kwietniowski,814
David Breashears,815
Peter O'Fallon,816
Jonathan Darby,817
Randall Wallace,818
John Roberts,819
Takeshi Kitano,820
M. Night Shyamalan,821
James Toback,822
Ice Cube,823
David Mamet,824
Jake Kasdan,825
Todd Holland,826
Sammo Kam-Bo Hung,827
Abbas Kiarostami,828
Mike van Diem,829
John Warren,830
Kirk Wong,831
Carl Schenkel,832
Tim McCanlies,833
Jill Sprecher,834
Frederik Du Chau,835
Warren Beatty,836
Don Roos,837
Erik Skjoldbjærg,838
Scott Reynolds,839
Caroline Link,840
Harry Elfont,841
Lisa Cholodenko,842
Majid Majidi,843
Tiffanie DeBartolo,844
Tony Bancroft,845
Rob Bowman,846
Paddy Breathnach,847
Chris Eyre,848
Vincent Gallo,849
Darren Aronofsky,850
Susan Skoog,851
Edward D. Wood Jr.,852
Harry Beaumont,853
Lewis Milestone,854
Wesley Ruggles,855
Frank Lloyd,856
Edmund Goulding,857
Robert Z. Leonard,858
William Dieterle,859
Laurence Olivier,860
Robert Rossen,861
Delbert Mann,862
Jerome Robbins,863
Hugh Hudson,864
Alex Cox,865
John Hughes,866
Jack Sholder,867
Jim Henson,868
Sean S. Cunningham,869
Joseph Zito,870
Danny Steinmann,871
Tom McLoughlin,872
John Carl Buechler,873
Rob Hedden,874
Tommy Lee Wallace,875
Rick Rosenthal,876
Paul Lynch,877
Dominique Othenin-Girard,878
Clay Borris,879
John Lafia,880
Jack Bender,881
Tobe Hooper,882
Gary Sherman,883
William Peter Blatty,884
Theresa Connelly,885
Michael Oblowitz,886
Ronald Neame,887
Gary Nelson,888
Vincent McEveety,889
Jack Donohue,890
Michael Tolkin,891
Adrian Lyne,892
David Nutter,893
Rupert Wainwright,894
Charles Jarrott,895
Steven Hilliard Stern,896
Kenny Ortega,897
Fletcher Markle,898
David Zucker,899
Nancy Meyers,900
Jacques Tourneur,901
Peter Masterson,902
Liliana Cavani,903
István Szabó,904
Jeremy Kagan,905
Hendel Butoy,906
John Lounsbery,907
Toby Shelton,908
Walter Murch,909
Les Clark,910
Ub Iwerks,911
Harve Foster,912
Tim Hunter,913
Steven Lisberger,914
Ralph Bakshi,915
Stephen King,916
Lewis Teague,917
Fritz Kiersch,918
Jerry Lewis,919
Charles Nichols,920
Martin Rosen,921
Phil Nibbelink,922
Michael Chapman,923
Ethan Wiley,924
Jamie Uys,925
Richard Martin,926
Kevin Rodney Sullivan,927
Tamara Jenkins,928
Pupi Avati,929
John De Bello,930
Peter George,931
Stephen Norrington,932
Alan Cohn,933
Pat Proft,934
Brad Anderson,935
Sarah Kernochan,936
Henry Jaglom,937
Mark Christopher,938
Bob Saget,939
Vincenzo Natali,940
Mark Steven Johnson,941
Tony Bill,942
Lewis John Carlino,943
Tamar Simon Hoffs,944
Charles Band,945
Jerry Schatzberg,946
Emilio Estevez,947
Carl Schultz,948
Dan Aykroyd,949
Terry Hughes,950
David Veloz,951
Lance Mungia,952
Jamie Blanks,953
David Dobkin,954
Piers Haggard,955
Gordon Douglas,956
Eric Darnell,957
Stanley Tucci,958
Vincent Ward,959
John Pieplow,960
John Maybury,961
Randa Haines,962
Ronny Yu,963
Gary Ross,964
Bennett Miller,965
Roberto Benigni,966
Trey Parker,967
John Harrison,968
Tony Kaye,969
Richard LaGravenese,970
S.R. Bindler,971
Hype Williams,972
Shekhar Kapur,973
Martin Brest,974
Bruce McDonald,975
Andrei Konchalovsky,976
Bryan Forbes,977
James D. Parriott,978
Igor Kovalyov,979
Walter Salles,980
Predrag Antonijevic,981
Kirk Jones,982
Thomas Vinterberg,983
Ishirô Honda,984
Kôji Hashimoto,985
Merian C. Cooper,986
John Guillermin,987
Susan Seidelman,988
John Glen,989
Jerry Paris,990
Jim Drake,991
Alan Myerson,992
Peter Bonerz,993
Dean Parisot,994
Ferzan Özpetek,995
Peter Berg,996
Troy Miller,997
Brenda Chapman,998
George Seaton,999
John D. Hancock,1000
Sylvester Stallone,1001
Jack Fisk,1002
Alan Metter,1003
Robert M. Young,1004
Terrence Malick,1005
Ernest B. Schoedsack,1006
Anthony Drazan,1007
Anand Tucker,1008
Willard Carroll,1009
Brian Robbins,1010
John Bruno,1011
Willard Huyck,1012
Tibor Takács,1013
Chris Walas,1014
Kurt Neumann,1015
Mark L. Lester,1016
Kim Henkel,1017
Peter Faiman,1018
John Cornell,1019
Jeff Kanew,1020
Álex de la Iglesia,1021
Michael Powell,1022
Robert Iscove,1023
Brian Helgeland,1024
Myles Berkowitz,1025
Mark Tarlov,1026
René Laloux,1027
James Moll,1028
Darren Stein,1029
Mike Judge,1030
Samira Makhmalbaf,1031
Risa Bramon Garcia,1032
Shôhei Imamura,1033
Mary Lambert,1034
David Price,1035
James D.R. Hickox,1036
Jerry Jameson,1037
Jack Smight,1038
James Goldstone,1039
Michael Crichton,1040
Ted Post,1041
Don Taylor,1042
Corey Allen,1043
Irwin Allen,1044
Mark Robson,1045
Matthew Diamond,1046
Roger Kumble,1047
Guy Ritchie,1048
Katt Shea,1049
